;USDRUB;VIX;BRENT;CDS
08.04.2015;53.6005;13.98;55.55;346.37
09.04.2015;51.8875;13.09;56.57;347.12
13.04.2015;52.0423;13.94;57.93;347.42
14.04.2015;50.8833;13.67;58.43;359.04
15.04.2015;49.7024;12.84;60.32;348.59
16.04.2015;49.7995;12.6;63.98;340.22
17.04.2015;51.8821;13.89;63.45;353.42
20.04.2015;53.3222;13.3;63.45;360.31
21.04.2015;53.7634;13.25;62.08;366.55
22.04.2015;52.2144;12.71;62.73;363.61
23.04.2015;50.7827;12.48;64.85;355.99
24.04.2015;50.9084;12.29;65.28;347.14
27.04.2015;51.9876;13.12;64.83;354.28
28.04.2015;51.5342;12.41;64.64;350.48
29.04.2015;51.0402;13.39;65.84;350.25
30.04.2015;51.6513;14.55;66.78;356.35
01.05.2015;51.796;12.7;66.46;559.97
05.05.2015;50.4491;14.31;67.52;356.36
06.05.2015;51.0011;15.15;67.77;345.24
08.05.2015;51.0377;12.86;65.39;339.58
11.05.2015;51.246;13.85;64.91;267.866
13.05.2015;49.2576;13.76;66.81;346.83
14.05.2015;50.122;12.74;66.59;307
15.05.2015;49.5628;12.38;66.81;303
18.05.2015;49.0687;12.73;66.27;297.96
19.05.2015;49.5371;12.85;64.02;323.42
20.05.2015;49.7284;12.88;65.03;290.92
21.05.2015;49.9847;12.11;66.54;289.09
22.05.2015;49.9817;12.13;65.37;286.54
26.05.2015;50.9499;14.06;63.72;291.9
27.05.2015;51.9873;13.27;62.06;297
28.05.2015;52.5899;13.31;62.58;306.86
29.05.2015;52.3212;13.84;65.56;297
01.06.2015;53.6187;13.97;64.88;600
02.06.2015;52.8647;14.24;65.49;545.17
03.06.2015;54.2938;13.66;63.8;452.75
04.06.2015;56.4487;14.71;62.03;346.8
05.06.2015;56.2446;14.21;63.31;341.99
08.06.2015;55.9969;15.29;62.69;346.93
10.06.2015;54.3462;13.22;65.7;340
11.06.2015;54.7913;12.85;65.11;282.981
15.06.2015;54.5077;15.39;62.61;357
16.06.2015;53.7588;14.81;63.7;346.88
17.06.2015;53.6084;14.5;63.87;346.89
18.06.2015;53.4641;13.19;64.26;353.15
19.06.2015;54.0064;13.96;63.02;347.95
22.06.2015;53.9301;12.74;63.34;341.32
23.06.2015;53.8511;12.11;64.45;325.3
24.06.2015;54.4662;13.26;63.49;326
25.06.2015;54.716;14.01;63.2;322.64
26.06.2015;54.806;14.02;63.26;324.54
29.06.2015;55.7448;18.85;62.01;337.868
30.06.2015;55.2806;18.23;63.59;336.24
01.07.2015;55.8397;16.09;62.01;575
07.07.2015;56.7309;16.09;56.85;346.51
08.07.2015;57.4966;19.66;57.05;347.13
09.07.2015;57.1921;19.97;58.61;347.24
10.07.2015;56.3876;16.83;58.73;323
13.07.2015;56.541;13.9;57.85;321.61
14.07.2015;56.4068;13.37;58.51;321.2
15.07.2015;56.952;13.23;57.05;324.47
16.07.2015;56.9496;12.11;57.51;314.76
17.07.2015;56.9669;11.95;57.1;306.89
20.07.2015;56.9939;12.25;56.65;308.92
21.07.2015;56.9346;12.22;57.04;313.42
22.07.2015;57.4359;12.12;56.13;319.13
23.07.2015;57.8501;12.64;55.27;323.33
24.07.2015;58.4299;13.74;54.62;336
27.07.2015;59.6501;15.6;53.47;346.89
28.07.2015;60.0155;13.44;53.3;342.98
29.07.2015;58.6778;12.5;53.38;329.05
30.07.2015;59.727;12.13;53.31;332.76
31.07.2015;61.7417;12.12;52.21;334.07
04.08.2015;63.0518;13;49.99;330
05.08.2015;63.4619;12.51;49.59;346.82
06.08.2015;64.0149;13.77;49.52;346.97
07.08.2015;64.037;13.39;48.61;346.84
10.08.2015;62.873;12.23;50.41;334.43
12.08.2015;64.2518;13.61;49.66;298.99
13.08.2015;64.6977;13.49;49.22;347.28
14.08.2015;64.9938;12.83;49.03;347.2
17.08.2015;65.5;13.02;48.74;346.93
18.08.2015;65.8717;13.79;48.81;346.75
19.08.2015;66.6027;15.25;47.16;347.12
20.08.2015;67.9297;19.14;46.62;347.12
21.08.2015;69.133;28.03;45.46;346.83
24.08.2015;70.8892;40.74;42.69;447.073
25.08.2015;69.0514;36.02;43.21;427.5
26.08.2015;68.9066;30.32;43.14;417
27.08.2015;66.0333;26.1;47.56;364.11
28.08.2015;65.423;26.05;50.05;347.09
31.08.2015;64.2768;28.43;54.15;346.92
01.09.2015;66.7987;31.4;49.56;574
02.09.2015;67.0242;26.09;50.5;540.95
03.09.2015;67.193;25.61;50.68;457.66
04.09.2015;68.4838;27.8;49.61;339.99
09.09.2015;68.481;26.23;47.58;347.24
10.09.2015;67.7313;24.37;48.89;333.62
11.09.2015;67.9536;23.2;48.14;307.02
14.09.2015;67.4673;24.25;46.37;359.5
15.09.2015;66.705;22.54;46.63;352
16.09.2015;65.3293;21.35;49.75;338.49
17.09.2015;65.4154;21.14;49.08;344
18.09.2015;66.5011;22.28;47.47;347.8
21.09.2015;66.0149;20.14;48.92;351.16
22.09.2015;66.0189;22.44;49.08;346.82
23.09.2015;66.4069;22.13;47.75;347.2
24.09.2015;66.0912;23.47;48.17;346.86
25.09.2015;65.5164;23.62;48.6;364.81
28.09.2015;66.0784;27.63;47.34;347.2
29.09.2015;65.7278;26.83;48.23;347.03
30.09.2015;65.4532;24.5;48.37;360
02.10.2015;66.0066;20.94;48.13;546.12
06.10.2015;63.3639;19.4;51.92;345.95
07.10.2015;62.6657;18.4;51.33;326.59
08.10.2015;61.369;17.42;53.05;345.43
09.10.2015;61.811;17.08;52.65;347.12
12.10.2015;62.273;16.17;49.86;292.32
13.10.2015;63.0786;17.67;49.24;324.22
14.10.2015;62.6939;18.03;49.15;324.49
15.10.2015;61.3889;16.05;48.71;313
16.10.2015;61.2708;15.05;50.46;288.138
19.10.2015;62.2839;14.98;48.61;290.054
20.10.2015;62.11;15.75;48.71;289.775
21.10.2015;63.0471;16.7;47.85;304
22.10.2015;62.5961;14.45;48.08;299
23.10.2015;62.3638;14.46;47.99;295
26.10.2015;63.0122;15.29;47.54;293
27.10.2015;64.9247;15.43;46.81;306
28.10.2015;63.9391;14.33;49.05;285.94
29.10.2015;64.4008;14.61;48.8;282.112
30.10.2015;63.9454;15.07;49.56;269.939
02.11.2015;63.6481;14.15;48.79;523.77
03.11.2015;62.5868;14.54;50.54;468.89
05.11.2015;63.4329;15.05;47.98;334
06.11.2015;64.5929;14.33;47.42;344.99
09.11.2015;64.5941;16.52;47.19;365.12
11.11.2015;65.4366;16.06;45.81;268
12.11.2015;66.6271;18.37;44.06;305
13.11.2015;66.7624;20.08;43.61;293
16.11.2015;65.2988;18.16;44.56;280.501
17.11.2015;65.1463;18.84;43.57;263.16
18.11.2015;64.7599;16.85;44.14;252.314
19.11.2015;64.6114;16.99;44.18;248.194
20.11.2015;64.7672;15.47;44.66;248.271
23.11.2015;65.8628;15.62;44.83;251.273
24.11.2015;65.4144;15.93;46.12;263.879
25.11.2015;65.5334;15.19;46.17;263.945
27.11.2015;66.4697;15.12;44.86;274.99
30.11.2015;66.4888;16.13;44.61;268.836
01.12.2015;66.6126;14.67;44.44;610
02.12.2015;67.4841;15.91;42.49;501.31
03.12.2015;67.5188;18.11;43.84;470.37
08.12.2015;69.4666;17.6;40.26;346.75
10.12.2015;69.1318;19.34;39.73;315.68
11.12.2015;70.3518;24.39;37.93;276.99
14.12.2015;70.5657;22.73;37.92;322.41
15.12.2015;69.9483;20.95;38.45;301.009
16.12.2015;70.3862;17.86;37.19;305.876
17.12.2015;71.177;18.94;37.06;301.99
18.12.2015;70.9601;20.7;36.88;312.99
21.12.2015;71.2254;18.7;36.35;307.737
22.12.2015;71.245;16.6;36.11;311.666
23.12.2015;69.6966;15.57;37.36;304.857
24.12.2015;70.2508;15.74;37.89;304.799
28.12.2015;72.2113;16.91;36.62;304.837
29.12.2015;72.2122;16.08;37.79;304.86
30.12.2015;73.5963;17.29;36.46;304.863
31.12.2015;72.999;18.21;37.28;304.863
04.01.2016;73.1655;20.7;37.22;285.424
06.01.2016;74.7623;20.59;34.23;256.916
07.01.2016;75.1;24.99;33.75;241.5
08.01.2016;74.805;27.01;33.55;233.83
11.01.2016;76.2;24.3;31.55;224.63
12.01.2016;77.0394;22.47;30.86;220.67
13.01.2016;76.6724;25.22;30.31;350.753
14.01.2016;76.0647;23.95;31.03;346.97
15.01.2016;77.6411;27.02;28.94;346.58
19.01.2016;78.5908;26.05;28.76;347.22
20.01.2016;81.3906;27.59;27.88;346.59
21.01.2016;82.6813;26.69;29.25;347.09
22.01.2016;78.045;22.34;32.18;342.197
25.01.2016;80.0649;24.15;30.5;343.906
26.01.2016;78.3342;22.5;31.8;336.091
27.01.2016;77.6556;23.11;33.1;322.591
28.01.2016;76.3787;22.42;33.89;318.19
29.01.2016;75.4644;20.2;34.74;322
02.02.2016;79.7542;21.98;32.72;348
03.02.2016;76.8869;21.65;35.04;302.981
05.02.2016;77.4872;23.38;34.06;239.62
08.02.2016;78.5509;26;32.88;234.76
09.02.2016;79.7087;26.54;30.32;212.99
11.02.2016;79.5917;28.14;30.06;232.15
12.02.2016;78.3558;25.4;33.36;216.15
16.02.2016;77.8876;24.11;32.18;346.735
17.02.2016;75.04;22.31;34.5;327.59
18.02.2016;76.4278;21.64;34.28;335
19.02.2016;76.9937;20.53;33.01;335.256
22.02.2016;75.3462;19.38;34.69;318.649
24.02.2016;75.7421;20.72;34.41;331.695
25.02.2016;75.3641;19.11;35.29;331.669
26.02.2016;76.1883;19.81;35.1;331.662
29.02.2016;75.1682;20.55;35.97;314.531
02.03.2016;73.0278;17.09;36.93;331.324
03.03.2016;73.162;16.7;37.07;299.936
10.03.2016;71.4291;18.05;40.05;216.52
11.03.2016;69.9192;16.5;40.39;233.61
14.03.2016;69.9772;16.92;39.53;285
15.03.2016;71.0474;16.84;38.74;284.337
16.03.2016;69.1734;14.99;40.33;281.576
17.03.2016;68.0758;14.44;41.54;266.827
18.03.2016;68.3703;14.02;41.2;261.956
21.03.2016;67.8348;13.79;41.54;276.65
22.03.2016;67.4914;14.17;41.79;276.496
23.03.2016;68.7234;14.94;40.47;283.166
24.03.2016;68.5601;14.74;40.44;290.129
28.03.2016;68.5128;15.24;40.27;290.022
29.03.2016;68.0899;13.82;39.14;297.583
30.03.2016;68.244;13.56;39.26;280.386
31.03.2016;67.0288;13.95;39.6;276.509
01.04.2016;67.5855;13.1;38.67;312
04.04.2016;68.7464;14.12;37.69;280.386
05.04.2016;68.5667;15.42;37.87;255.872
07.04.2016;67.9942;16.16;39.43;225.5
08.04.2016;67.1262;15.36;41.94;223.52
11.04.2016;66.7928;16.26;42.83;234.05
13.04.2016;66.2975;13.84;44.18;266.017
14.04.2016;66.1361;13.72;43.84;264.071
15.04.2016;66.405;13.62;43.1;267.744
18.04.2016;66.0847;13.35;42.91;257.342
19.04.2016;65.8547;13.24;44.03;245.866
20.04.2016;65.1893;13.28;45.8;247.05
21.04.2016;66.8337;13.95;44.53;240.412
22.04.2016;66.4792;13.22;45.11;248.093
25.04.2016;66.5674;14.08;44.48;250.23
26.04.2016;65.1825;13.96;45.74;249.143
27.04.2016;65.1325;13.77;47.18;248.029
28.04.2016;64.701;15.22;48.14;243.45
29.04.2016;64.6542;15.7;48.13;239.62
04.05.2016;66.5318;16.05;44.62;294.728
05.05.2016;65.8616;15.91;45.01;255.864
10.05.2016;66.2856;13.63;45.52;219.48
12.05.2016;64.8982;14.41;48.08;212.61
13.05.2016;65.4546;15.04;47.83;250.117
16.05.2016;64.8914;14.68;48.97;245.38
17.05.2016;64.7376;15.57;49.28;245.273
18.05.2016;65.9901;15.95;48.93;258.758
19.05.2016;66.779;16.33;48.81;270.6
20.05.2016;66.7833;15.2;48.72;261.837
23.05.2016;66.826;15.82;48.35;263.878
24.05.2016;66.1799;14.42;48.61;257.146
25.05.2016;65.4961;13.9;49.74;256.06
26.05.2016;65.8146;13.43;49.59;255.959
27.05.2016;66.1168;13.12;49.32;261.643
31.05.2016;66.6968;14.19;49.69;254.13
01.06.2016;67.1015;14.2;49.72;309.54
06.06.2016;65.2693;13.65;50.55;239.09
07.06.2016;64.6133;14.05;51.44;236.21
09.06.2016;64.3363;14.64;51.95;200.75
10.06.2016;65.2705;17.03;50.54;217.76
14.06.2016;66.1385;20.5;49.83;261.93
15.06.2016;65.5585;20.14;48.97;259.42
16.06.2016;65.7658;19.37;47.19;266.82
17.06.2016;64.8461;19.41;49.17;259.43
20.06.2016;64.2835;18.37;50.65;245.95
21.06.2016;63.7824;18.48;50.62;243.94
22.06.2016;64.8807;21.17;49.88;238.07
23.06.2016;63.83;17.25;50.91;238.65
24.06.2016;65.2733;25.76;48.41;255.71
27.06.2016;65.4441;23.85;47.16;259.02
28.06.2016;64.078;18.75;48.58;247.14
29.06.2016;63.8232;16.64;50.61;230.36
30.06.2016;63.9731;15.63;49.68;229.52
01.07.2016;63.804;14.77;50.35;319.458
06.07.2016;64.2031;14.96;48.8;237.39
07.07.2016;64.5625;14.76;46.4;229.39
11.07.2016;64.1963;13.54;46.25;223.48
12.07.2016;63.8928;13.55;48.47;204.31
13.07.2016;63.8403;13.04;46.26;220.53
14.07.2016;62.8268;12.82;47.37;217.26
15.07.2016;63.5079;12.67;47.61;220.24
18.07.2016;62.8635;12.44;46.96;226.58
19.07.2016;63.5394;11.97;46.66;230.81
20.07.2016;63.7773;11.77;47.17;227.98
21.07.2016;64.3803;12.74;46.2;221.11
22.07.2016;64.8689;12.02;45.69;226
25.07.2016;65.4183;12.87;44.72;227.41
26.07.2016;65.9448;13.05;44.87;231.25
27.07.2016;65.9353;12.83;43.47;234.76
28.07.2016;66.6038;12.72;42.7;234.29
29.07.2016;66.0429;11.87;42.46;235.68
01.08.2016;66.9005;12.44;42.14;328
02.08.2016;66.6682;13.37;41.8;346.49
03.08.2016;66.2634;12.86;43.1;303.484
04.08.2016;65.7809;12.42;44.29;286.384
08.08.2016;64.6274;11.5;45.39;209.91
09.08.2016;64.773;11.66;44.98;193.14
11.08.2016;64.3135;11.68;46.04;219.35
12.08.2016;64.764;11.55;46.97;199.75
15.08.2016;64.0429;11.81;48.35;220.65
16.08.2016;63.7823;12.64;49.23;218.78
17.08.2016;63.8325;12.19;49.85;220.74
18.08.2016;63.6637;11.43;50.89;225.05
19.08.2016;63.906;11.34;50.88;229.08
22.08.2016;64.8112;12.27;49.16;231.88
23.08.2016;64.5946;12.38;49.96;227.52
24.08.2016;65.1602;13.45;49.05;229.46
25.08.2016;64.6825;13.63;49.67;227.57
26.08.2016;64.8556;13.65;49.92;219.72
29.08.2016;64.7624;12.94;49.26;219.66
30.08.2016;65.2607;13.12;48.37;217.3
31.08.2016;65.3317;13.42;47.04;217.34
02.09.2016;65.0975;11.98;46.83;347.646
06.09.2016;64.5645;12.02;47.26;240.48
08.09.2016;63.9808;12.51;49.99;206.98
09.09.2016;64.8199;17.5;48.01;199.43
12.09.2016;64.5918;15.16;48.32;199.74
13.09.2016;65.2994;17.85;47.1;206.03
14.09.2016;65.1533;18.14;45.85;204.99
15.09.2016;64.7683;16.3;46.59;205.78
16.09.2016;65.1138;15.37;45.77;203.88
19.09.2016;64.6569;15.53;45.95;198.5
20.09.2016;64.7819;15.92;45.88;216.92
21.09.2016;63.8353;13.3;46.83;211.64
22.09.2016;63.6999;12.02;47.65;204.57
23.09.2016;64.0518;12.29;45.89;207
26.09.2016;63.9264;14.5;47.35;207.76
27.09.2016;63.856;13.1;45.97;215.03
28.09.2016;63.0129;12.39;48.69;214.03
29.09.2016;63.0892;14.02;49.24;211.17
30.09.2016;62.8343;13.29;49.06;216.58
03.10.2016;62.2769;13.57;50.89;293
05.10.2016;62.4194;12.99;51.86;254.949
06.10.2016;62.0861;12.84;52.51;246.04
10.10.2016;61.9853;13.38;53.14;222.93
11.10.2016;62.67;15.36;52.41;230.61
13.10.2016;63.0334;16.69;52.03;234
14.10.2016;62.9718;16.12;51.95;230.61
17.10.2016;63.1094;16.21;51.52;235.43
18.10.2016;62.8137;15.28;51.68;231.11
19.10.2016;62.2943;14.41;52.67;225.3
20.10.2016;62.486;13.75;51.38;222.64
21.10.2016;62.3778;13.34;51.78;222.63
24.10.2016;62.1881;13.02;51.46;220.48
25.10.2016;62.2667;13.46;50.79;219.7
26.10.2016;62.8987;14.24;49.98;223.38
27.10.2016;62.7163;15.36;50.47;224.14
28.10.2016;63.0059;16.19;49.71;219.51
31.10.2016;63.3823;17.06;48.3;219.98
01.11.2016;63.3208;18.56;48.14;343
02.11.2016;63.5101;19.32;46.86;366.315
03.11.2016;63.5806;22.08;46.35;272.875
07.11.2016;63.638;18.71;46.15;217.79
08.11.2016;63.7595;18.74;46.04;216.3
10.11.2016;65.4926;14.74;45.84;229.2
11.11.2016;65.7592;14.17;44.75;235.68
14.11.2016;66.0222;14.48;44.43;238.55
15.11.2016;64.1741;13.37;46.95;224.15
16.11.2016;64.7795;13.72;46.63;228.76
17.11.2016;64.8285;13.35;46.49;226.9
18.11.2016;64.6963;12.85;46.86;229.33
21.11.2016;63.9144;12.42;48.9;224.09
22.11.2016;63.7645;12.41;49.12;220.5
23.11.2016;64.4667;12.43;48.95;224.59
25.11.2016;64.9468;12.34;47.24;224.99
28.11.2016;64.8383;13.15;48.24;222.03
29.11.2016;65.0979;12.9;46.38;225.48
30.11.2016;64.142;13.33;50.47;222.65
01.12.2016;63.9759;14.07;53.94;345
02.12.2016;63.882;14.12;54.46;345.098
05.12.2016;63.8175;12.14;54.94;243.47
07.12.2016;63.2054;12.22;53;216.855
08.12.2016;63.2743;12.64;53.89;226.33
09.12.2016;62.4933;11.75;54.33;202.85
12.12.2016;61.0442;12.64;55.69;189.98
13.12.2016;60.6029;12.72;55.72;187.08
14.12.2016;62.0812;13.19;53.9;181
15.12.2016;61.731;12.79;54.02;181.15
16.12.2016;62.0946;12.2;55.21;179.79
19.12.2016;61.9306;11.71;54.92;179.82
20.12.2016;61.4518;11.45;55.35;178.9
21.12.2016;61.15;11.27;54.46;177.91
22.12.2016;60.9426;11.43;55.05;175.47
23.12.2016;61.0564;11.44;55.16;174.99
27.12.2016;60.6708;11.99;56.09;174.99
28.12.2016;60.3297;12.95;56.22;175
29.12.2016;60.4138;13.37;56.14;174.98
30.12.2016;61.273;14.04;56.82;175.01
03.01.2017;60.9133;12.85;55.47;162.99
05.01.2017;59.4481;11.67;56.89;151.99
06.01.2017;59.6046;11.32;57.1;149.62
09.01.2017;60.0788;11.56;54.94;138.44
11.01.2017;59.7256;11.26;55.1;128.36
12.01.2017;59.3491;11.54;56.01;130.31
13.01.2017;59.6869;11.23;55.45;178.47
17.01.2017;59.4025;11.87;55.47;180.37
18.01.2017;59.5544;12.48;53.92;181.89
19.01.2017;59.7304;12.78;54.16;184.77
20.01.2017;59.7521;11.54;55.49;182.37
23.01.2017;59.5022;11.77;55.23;181.35
24.01.2017;59.2511;11.07;55.44;179.22
25.01.2017;59.5145;10.81;55.08;181.16
26.01.2017;60.4317;10.63;56.24;180.21
27.01.2017;59.8178;10.58;55.52;175.32
30.01.2017;59.9332;11.88;55.23;178.2
31.01.2017;60.1589;11.99;55.7;181.83
01.02.2017;60.128;11.81;56.8;175.04
02.02.2017;59.4117;11.93;56.56;178.98
03.02.2017;58.9824;10.97;56.81;162.76
06.02.2017;58.903;11.37;55.72;149.84
08.02.2017;59.2323;11.45;55.12;158.71
10.02.2017;58.2219;10.85;56.7;135.89
13.02.2017;57.9851;11.07;55.59;165.11
14.02.2017;57.1288;10.74;55.97;165.63
15.02.2017;57.2565;11.97;55.75;172.68
16.02.2017;57.5993;11.76;55.65;174.59
17.02.2017;58.427;11.49;55.81;178.99
21.02.2017;57.4153;11.57;56.66;174.38
22.02.2017;58.0668;11.74;55.84;174.11
24.02.2017;58.4175;11.47;55.99;168.25
27.02.2017;58.0784;12.09;55.93;167.1
28.02.2017;58.3058;12.92;55.59;165.34
01.03.2017;58.2831;12.54;56.36;175.05
02.03.2017;58.8302;11.81;55.08;174.05
03.03.2017;58.2217;10.96;55.9;163.48
07.03.2017;58.1777;11.45;55.92;168.46
10.03.2017;58.9965;11.66;51.37;134.18
13.03.2017;58.7928;11.35;51.35;169.87
14.03.2017;59.1627;12.3;50.92;173.5
15.03.2017;58.396;11.63;51.81;170.35
16.03.2017;57.7819;11.21;51.74;165.56
17.03.2017;57.2234;11.28;51.76;160.08
20.03.2017;57.2987;11.34;51.62;170.1
21.03.2017;57.698;12.47;50.96;171.09
22.03.2017;57.7887;12.81;50.64;177.92
23.03.2017;57.4353;13.12;50.56;174.31
24.03.2017;56.8904;12.96;50.8;169.65
27.03.2017;56.9101;12.5;50.75;173.99
28.03.2017;57.0335;11.53;51.33;172.55
29.03.2017;56.6068;11.42;52.42;171.05
30.03.2017;56.0929;11.54;52.96;164.8
31.03.2017;56.2665;12.37;52.83;165.25
04.04.2017;56.0787;11.79;54.17;163.11
05.04.2017;56.379;12.89;54.36;155.65
07.04.2017;57.248;12.87;55.24;168.44
10.04.2017;57.1778;14.05;55.98;132.48
12.04.2017;56.6023;15.77;55.86;131.09
13.04.2017;56.2679;15.96;55.89;168
17.04.2017;55.9267;14.66;55.36;168.01
18.04.2017;56.2408;14.42;54.89;166.73
19.04.2017;56.5833;14.93;52.93;164.85
20.04.2017;56.2073;14.15;52.99;163.15
21.04.2017;56.4576;14.63;51.96;162.85
24.04.2017;55.8438;10.84;51.6;157.55
25.04.2017;56.1574;10.76;52.1;155.38
26.04.2017;57.1535;10.85;51.82;154.59
27.04.2017;56.9705;10.36;51.44;154.63
28.04.2017;56.9311;10.82;51.73;151.99
04.05.2017;58.3694;10.46;48.38;160.89
05.05.2017;57.9436;10.57;49.1;154.69
10.05.2017;57.4522;10.21;50.22;130.78
12.05.2017;57.0974;10.4;50.84;129.12
15.05.2017;56.352;10.42;51.82;150.56
16.05.2017;56.5699;10.65;51.65;148.83
17.05.2017;57.0978;15.59;52.21;156.85
18.05.2017;57.5828;14.66;52.51;159.13
19.05.2017;56.9264;12.04;53.61;151.56
22.05.2017;56.6293;10.93;53.87;150.09
23.05.2017;56.3695;10.72;54.15;148.37
24.05.2017;56.4127;10.02;53.96;147.37
25.05.2017;56.9672;9.99;51.46;145.95
26.05.2017;56.5203;9.81;52.15;144.97
30.05.2017;56.5497;10.38;51.84;144.97
31.05.2017;56.5617;10.41;50.31;150.84
01.06.2017;56.3983;9.89;50.63;167.8
02.06.2017;56.6453;9.75;49.95;175.48
06.06.2017;56.5353;10.45;50.12;150.33
07.06.2017;57.0911;10.39;48.06;177.05
09.06.2017;57.0237;10.7;48.15;139.17
13.06.2017;56.9845;10.42;48.72;158.19
14.06.2017;57.4307;10.64;47;156.89
15.06.2017;57.8743;10.9;46.92;163.56
16.06.2017;57.779;10.38;47.37;163.31
19.06.2017;58.4527;10.37;46.91;163.58
20.06.2017;59.62;10.86;46.02;171.84
21.06.2017;60.3063;10.75;44.82;173.58
22.06.2017;59.946;10.48;45.22;172.85
23.06.2017;59.395;10.02;45.54;168.71
26.06.2017;58.7853;9.9;45.83;165.53
27.06.2017;59.4894;11.06;46.65;165.31
28.06.2017;59.2004;10.03;47.31;168.46
29.06.2017;59.4146;11.44;47.42;168.51
30.06.2017;58.9401;11.18;47.92;167.999
03.07.2017;59.284;11.22;49.68;158.63
06.07.2017;60.1558;12.54;48.11;151.83
07.07.2017;60.361;11.19;46.71;177.3
11.07.2017;60.7255;10.89;47.52;137.66
12.07.2017;59.9962;10.3;47.74;131.8
13.07.2017;59.8363;9.9;48.42;163.36
14.07.2017;59.0851;9.51;48.91;163.81
17.07.2017;59.355;9.82;48.42;163.34
18.07.2017;59.1807;9.89;48.84;164.56
19.07.2017;58.997;9.79;49.7;163.6
20.07.2017;58.9316;9.58;49.3;162.86
21.07.2017;59.3829;9.36;48.06;162.11
24.07.2017;60.0094;9.43;48.6;164.08
25.07.2017;59.8868;9.43;50.2;165.82
26.07.2017;59.4064;9.6;50.97;163.57
27.07.2017;59.4968;10.11;51.49;160.21
28.07.2017;59.5578;10.29;52.52;161.64
31.07.2017;59.7719;10.26;52.65;162.14
02.08.2017;60.5811;10.28;52.36;177.97
03.08.2017;60.3489;10.44;52.01;164.51
08.08.2017;59.8262;10.96;52.14;150.4
09.08.2017;59.9945;11.11;52.7;138.45
11.08.2017;59.8733;15.51;52.1;137.41
14.08.2017;59.863;12.33;50.73;150.76
15.08.2017;59.7038;12.04;50.8;149.79
16.08.2017;59.3852;11.74;50.27;149.76
17.08.2017;59.234;15.55;51.03;147.59
18.08.2017;59.0003;14.26;52.72;149.54
21.08.2017;59.1428;13.19;51.66;148.3
22.08.2017;59.0868;11.35;51.87;146.61
23.08.2017;59.063;12.25;52.57;145.66
24.08.2017;59.1624;12.23;52.04;145.46
25.08.2017;58.5828;11.28;52.41;146.01
28.08.2017;58.4388;11.32;51.89;146.91
29.08.2017;58.8299;11.7;52;146.99
30.08.2017;58.5678;11.22;50.86;143.08
31.08.2017;58.006;10.59;52.38;140.39
01.09.2017;57.5159;10.13;52.75;169.68
05.09.2017;57.527;12.23;53.38;155.43
06.09.2017;57.3641;11.63;54.2;156.23
08.09.2017;57.357;12.12;53.78;152.44
11.09.2017;57.2123;10.73;53.84;138.87
13.09.2017;57.9559;10.5;55.16;136.26
14.09.2017;57.4996;10.44;55.47;133.31
15.09.2017;57.6329;10.17;55.62;132.82
18.09.2017;58.1199;10.15;55.48;130.14
19.09.2017;58.1302;10.18;55.14;134.06
20.09.2017;58.1041;9.78;56.29;148.56
21.09.2017;57.901;9.67;56.43;150
22.09.2017;57.4783;9.59;56.86;145.63
25.09.2017;57.571;10.21;59.02;149.77
26.09.2017;57.8226;10.17;58.44;147.62
27.09.2017;58.1983;9.87;57.9;147.13
28.09.2017;57.9127;9.55;57.41;143.95
29.09.2017;57.4898;9.51;57.54;141.03
02.10.2017;57.899;9.45;56.12;172.88
03.10.2017;57.9168;9.51;56;169.37
04.10.2017;57.6845;9.63;55.8;171.06
05.10.2017;57.6916;9.19;57;151.27
10.10.2017;57.9808;10.08;56.61;128.81
11.10.2017;57.831;9.85;56.94;138.17
13.10.2017;57.174;9.61;57.17;130.53
16.10.2017;57.3217;9.91;57.82;130.06
17.10.2017;57.2975;10.31;57.88;131.28
18.10.2017;57.4379;10.07;58.15;131.05
19.10.2017;57.2734;10.05;57.23;131.03
20.10.2017;57.4945;9.97;57.75;130.08
23.10.2017;57.548;11.07;57.37;129.57
24.10.2017;57.6412;11.16;58.33;128.85
25.10.2017;57.7552;11.23;58.44;129.33
26.10.2017;57.856;11.3;59.3;128.12
27.10.2017;58.068;9.8;60.44;127.12
30.10.2017;57.9716;10.5;60.9;126.39
31.10.2017;58.3289;10.18;61.37;128.61
01.11.2017;58.2807;10.2;60.49;183.34
07.11.2017;59.3594;9.89;63.69;170.68
08.11.2017;59.2551;9.78;63.49;155.12
09.11.2017;59.2894;10.5;63.93;136.76
10.11.2017;59.2115;11.29;63.52;129.31
13.11.2017;59.3625;11.5;63.16;138.89
14.11.2017;60.2303;11.59;62.21;138.64
15.11.2017;60.2027;13.13;61.87;138.16
16.11.2017;59.6749;11.76;61.36;134.99
17.11.2017;59.0623;11.43;62.72;133.75
20.11.2017;59.3469;10.65;62.22;132.05
21.11.2017;59.1888;9.73;62.57;132.52
22.11.2017;58.5001;9.88;63.32;131.29
24.11.2017;58.3732;9.67;63.86;130.83
27.11.2017;58.4853;9.87;63.84;129.36
28.11.2017;58.3803;10.03;63.61;127.64
29.11.2017;58.6144;10.7;63.11;127.16
30.11.2017;58.438;11.28;63.57;126.43
01.12.2017;58.896;11.43;63.73;178.89
04.12.2017;58.8003;11.68;62.45;170.89
05.12.2017;58.7367;11.33;62.86;153.94
06.12.2017;59.218;11.02;61.22;155.74
07.12.2017;59.1867;10.16;62.2;164.55
